,Authority,Event-code,Influence,Description ENG,Description ORI,Event-class,Event-class Description,mapped_status,is_granted
3062,HR,UPPU,+,REESTABLISHMENT OF RIGHTS ADOPTED,ZAHTJEV ZA PONOVNU USPOSTAVU PRAVA USVOJEN,K,IP RIGHT REVIVAL,ALIVE,False
3063,HR,UPPZ,+,REESTABLISHMENT OF RIGHTS REQUESTED,ZAHTJEV ZA PONOVNU USPOSTAVU PRAVA,K,IP RIGHT REVIVAL,ALIVE,False
3064,HR,USP1,,ADMINISTRATIVE DISPUTE,UPRAVNI SPOR,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,NEUTRAL,False
3065,HR,USP2,,DECISION OF AN ADMINISTRATIVE COURT,ODLUKA UPRAVNOG SUDA,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,NEUTRAL,False
3066,HR,UZAP,,REGISTRATION OF A RIGHT IN REM,UPIS ZALOGA,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
3067,HR,ZALO,+,APPEAL REJECTED/WITHDRAWN /REFUSED,ZALBA ODBACENA/OBUSTAVLJENA/ ODBIJENA,V,APPEAL,UNKNOWN,False
3068,HR,ZALP,-,APPEAL FILED,ZALBA PODNESENA,V,APPEAL,UNKNOWN,False
3069,HR,ZALU,-,APPEAL ADOPTED,ZALBA USVOJENA,V,APPEAL,UNKNOWN,False
3070,HU,AA1S,+,INFORMATION ON APPLICATION FOR A SUPPLEMENTARY PROTECTION CERTIFICATE,"KIEGESZITOE OLTALMI TANUSITVANYTA VONATKOZO KOELEMENYEK, TAJEKOZTATAS KIEGESZITOE OLTALMI TANUSITVANYRA VONATKOZO BEJELENTESEKROEL",G,PROTECTION BEYOND IP RIGHT TERM,PENDING,False
3071,HU,AG4A,+,FILING OF THE TRANSLATION OF THE TEXT OF EUROPEAN PATENTS,EURPAI SZABADALMAK SZOEVEGE FORDITASANAK BENYUJTASA,W,OTHER,UNKNOWN,False
3072,HU,AG4B,+,PUBLICATION OF THE CORRECTED TRANSLATION OF THE TEXT OF EUROPEAN PATENTS,EUROPAI SZABADALMAK SZOEVEGE FORDITAS-KIJAVITASANAK KOEZZETETELE,Q,DOCUMENT PUBLICATION,PENDING,False
3073,HU,AG4F,+,SUBMISSION OF A TRANSLATION OF THE TEXT OF AN AMENDED EUROPEAN PATENT,TAJEKOZTATAS AZ EUROPAI SZABADALMI EGYEZMENY SZERINTI FELSZOLALASI ELJARASBAN MODOSITASSAL FENNTARTOTT EUROPAI SZABADALOM SZOEVEGE FORDITASANAK [...],W,OTHER,UNKNOWN,False
3074,HU,AG4K,+,SUBMISSION OF A TRANSLATION OF THE TEXT OF A LIMITED EUROPEAN PATENT,TAJEKOZTATAS AZ EUROPAI SZABADALMI EGYEZMENY SZERINTI KORLATOZASI ELJARASBAN MODOSITASSAL FENNTARTOTT EUROPAI SZABADALOM SZOEVEGE FORDITASANAK [...],W,OTHER,UNKNOWN,False
3075,HU,AG9A,+,PUBLICATION OF THE TRANSLATION OF THE CLAIMS OF EUROPEAN PATENT APPLICATION,EUROPAI SZABADALMI BEJELENTESEK IGENYPONT FORDITASANAK KOEZZETETELE,Q,DOCUMENT PUBLICATION,PENDING,False
3076,HU,AG9B,+,PUBLICATION OF THE CORRECTED TRANSLATION OF THE CLAIMS OF THE EUROPEAN PATENT APPLICATION,EUROPAI SZABADALMI BEJELENTESEK IGENYPONTJAI FORDITAS-KIJAVISTASANAK KOZZETETELE,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3077,HU,BBF9,,CANCELLATION OF EARLIER PUBLICATION ON APPLICATION,CANCELLATION OF EARLIER PUBLICATION ON APPLICATION,Q,DOCUMENT PUBLICATION,PENDING,False
